"EMS Payment - Settings","EMS Payment - Paramètres"
"API Key”,”Clé API"
"EMS Payment - iDEAL","EMS Payment - iDEAL"
"EMS Payment - Cashondelivery","EMS Payment Contre-remboursement"
"EMS Payment - Banktransfer","EMS Payment - Virement Bancaire"
"EMS Payment - Mastercard, VISA, Maestro of V PAY","EMS Payment - Mastercard, VISA, Maestro ou V PAY"
"Enabled","Activé"
"Description","Description"
"EMS Payment - Payconiq","EMS Payment - Payconiq"

"Choose your bank:","Choisissez votre banque:"

"Payment is pending","Le paiement est en attente"
"Payment is completed","Le paiement est fini"
"Payment is cancelled","Le paiment est annulé"
"Payment failed with an error","Le paiement a échoué avec une erreur."
"Amounts don't match. Possible fraud","Les montants ne correspondent pas. Fraude possible."

"An error occurred in the process of payment","Il y avait une erreur lors du traitement de votre commande. Nous nous excusons pour le dérangement.Veuillez réessayer SVP."
"Unfortunately, we can not currently accept your purchase with Klarna. Please choose another payment option to complete your order. We apologize for the inconvenience","Il y avait une erreur lors du traitement de votre commande. Nous nous excusons pour le dérangement.Veuillez réessayer SVP."

"Your order at %s","Votre commande à %s"
"Your order %s at %s","Votre commande %s à %s"
"Your order has been received.", "Votre commande a été bien reçue."
"Thank you for your purchase!","Merci pour votre achat!"
"Payment instructions:","Instructions pour le reglement:"
"Please use the following data to make the banktransfer", "Utilisez les données suivantes pour effectuer le virement bancaire"
"EMS processes the payments for", "EMS traite les paiements pour"
"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!", "(!) N'oubliez pas d'utiliser la référence dans votre réglement. Sans la référence, le traitement de votre paiement peut prendre plus de temps!"

"Amount:","Montant:"
"Reference:","Référence:"
"Account number:","Numéro de compte:"
"IBAN:","IBAN:"
"BIC:","BIC:"
"Account holder:","Titulaire du compte:"
"City:","Ville:"

"Test API Key”,”Clé API de Test"
"Product","EMS Payment Produit"
"Webhook URL","Webhook URL"
"Bundle CA.cert file","Utilisez bundle cURL CA"
"Include Webhook URL with every order creation","Fournir automatiquement l'URL Webhook avec la commande à l'API du EMS Payment."
"Used for testing Klarna payment method.","La clé API de Test est valable uniquement pour Klarna. Laissez ce champ vide lorsqu'il n'est pas utilisé."
"Resolves issue when curl.cacert path is not set in PHP.ini","Résout le problème lorsque le curl.cacert path n'est pas défini dans PHP.ini"
"Yes","Oui"
"No","Non"
"Title","Titre"
"Payment from Specific Countries","Autoriser le paiement en utilisant cette méthode de paiement de certains pays"
"Send order mail","Envoyer un e-mail de confirmation de commande au client"
"Generate invoice upon succesfull transaction","Générer une facture lors d'une transaction réussie"
"Sort order","Ordre de tri"
"IP Filtering","L'adresse IP pour tester le methode du paiement"
"Example Klarna: 127.0.0.1, 255.255.255.255","Vous pouvez spécifier des adresses IP spécifiques pour lesquelles Klarna est visible, par exemple si vous souhaitez tester Klarna, vous pouvez saisir des adresses IP comme 128.0.0.1, 255.255.255.255. Si vous remplissez rien, alors, Klarna est visible à toutes les adresses IP."
"Example Afterpay: 127.0.0.1, 255.255.255.255","Vous pouvez spécifier des adresses IP spécifiques pour lesquelles AfterPay est visible, par exemple si vous souhaitez tester AfterPay, vous pouvez saisir des adresses IP comme 128.0.0.1, 255.255.255.255. Si vous remplissez rien, alors, AfterPay est visible à toutes les adresses IP."
"Unfortunately, you cannot use AfterPay as Afterpay is only available for addresses in the Netherlands and Belgium. Please use the correct address or select another payment method.","Malheureusement, vous ne pouvez pas utiliser AfterPay car Afterpay est suelement disponible pour les adresses aux Pays-Bas et en Belgique.S\'il vous plaît utiliser l\'adresse correcte ou sélectionnez un autre mode de paiement."
"I accept AfterPay","J'accepte AfterPay"
"Terms & Conditions", "Termes et conditions"