"EMS Payment - Settings","EMS Payment - Instellingen"
"API Key","API Key"
"EMS Payment - iDEAL","EMS Payment - iDEAL"
"EMS Payment - Banktransfer","EMS Payment - Overboeking"
"EMS Payment - Cashondelivery","EMS Payment - Rembours"
"EMS Payment - Mastercard, VISA, Maestro of V PAY","EMS Payment - Mastercard, VISA, Maestro of V PAY"
"Enabled","Ingeschakeld"
"Description","Omschrijving"
"EMS Payment - Payconiq","EMS Payment - Payconiq"
"Choose your bank:","Kies uw bank:"
"Payment is pending","Betaling wordt verwerkt"
"Payment is completed","Betaling is afgerond"
"Payment is cancelled","Betaling is geannuleerd"
"Payment failed with an error","Betaling is mislukt door een fout"
"Amounts don't match. Possible fraud","Bedragen komen niet overheen, mogelijke fraude"
"An error occurred in the process of payment","Helaas is er een fout opgetreden tijdens het verwerken van uw betaling. Onze excuses voor het ongemak.Probeer het opnieuw."
"Unfortunately, we can not currently accept your purchase with Klarna. Please choose another payment option to complete your order. We apologize for the inconvenience","Helaas is er een fout opgetreden tijdens het verwerken van uw betaling. Onze excuses voor het ongemak.Probeer het opnieuw."
"Your order at %s","Uw bestelling bij %s"
"Your order %s at %s","Uw bestelling %s bij %s"
"Your order has been received.","Uw bestelling is ontvangen."
"Thank you for your purchase!","Bedankt voor uw aankoop!"
"Payment instructions:","Betaalinstructies:"
"Please use the following data to make the banktransfer","Gebuik de volgende gegevens voor uw overboeking"
"EMS processes the payments for","EMS verwerkt de betaling voor"
"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!","(!) Vergeet u niet het juiste betaalkenmerk te vermelden. Zonder het juiste betaalkenmerk kan de verwerking van uw betaling meer tijd kosten."
"Amount:","Bedrag:"
"Reference:","Kenmerk:"
"Account number:","Rekeningnummer:"
"IBAN:","IBAN:"
"BIC:","BIC:"
"Account holder:","Rekeninghouder:"
"City:","Woonplaats:"
"Test API Key","Test API Key"
"Product","EMS Payment Product"
"Webhook URL","Webhook URL"
"Bundle CA.cert file","Gebruik cURL CA bundel"
"Include Webhook URL with every order creation","Genereer de webhook URL automatisch in de API"
"Used for testing Klarna payment method.","De Test API Key is alleen van toepassing voor Klarna. Verwijderen wanneer deze niet wordt gebruikt."
"Resolves issue when curl.cacert path is not set in PHP.ini","Voorkomt probleem indien curl.cacert niet ingesteld is in PHP.ini"
"Yes","Ja"
"No","Nee"
"Title","Titel"
"Payment from Specific Countries","Sta betaling uit specifieke landen toe met deze betaalmethode"
"Send order mail","Stuur een orderbevestiging e-mail naar de shopper"
"Generate invoice upon succesfull transaction","Genereer factuur bij succesvolle transactie"
"Sort order","Sorteervolgorde"
"IP Filtering","IP adres(sen) voor testen."
"Example: 127.0.0.1, 255.255.255.255","U  kunt specifieke IP adressen opgeven waarvoor de betaalmethode Klarna zichtbaar is, bv als u wilt testen  (bijvoorbeeld: 128.0.0.1, 255.255.255.255). Vult u niets in dan is Klarna voor alle IP adressen zichtbaar."
"Unfortunately, you cannot use AfterPay as Afterpay is only available for addresses in the Netherlands and Belgium. Please use the correct address or select another payment method.","Helaas kunt u AfterPay niet gebruiken omdat AfterPay alleen beschikbaar is voor adressen in Nederland en BelgiÃ«. Gebruik alstublieft het juiste adres of selecteer een andere betaalmethode."
"I accept AfterPay","Ik accepteer AfterPay"
"Terms & Conditions", "Gebruiksvoorwaarden"
"Processing order not found","Geen order voor verwerking gevonden"